40Ar
39Ar
238U
206Pb 
40Ar/39Ar
40Ar-39Ar
Ar/Ar
Ar-Ar
argon dating
argon geochronology
U-Pb
U/Pb
Uranium-Lead
Uranium/Lead
206Pb/238U
238U/206Pb
U-Th/He
(U-Th)/He
cosmogenic
OSL
optically stimulated luminescence
10Be
3He
21Ne
detrital zircon
14C
paleomagnetism
paleomagnetic
orbital tuning
26Al
36Cl
fission track
electron spin resonance
luminescence dating
amino acid racemization
U-series
Uranium series
U-Th
tephrochronology
radiocarbon
U-Th-Pb
geochronology
thermochronology
absolute age
biostratigraphy
